rank,name,genre,review_status,review_count,wishlist_increase,chart_count,steamdb_rank
1,빈딕투스: 디파잉 페이트,액션 RPG,복합적,5200,+151605,14,31위
2,Jump Ship,슈팅 (1인칭),확인불가,1811,+59726,9,96위
3,와일드게이트,슈팅 (1인칭),매우 긍정적,3297,+89715,15,18위
4,MIMESIS,공포,확인불가,-,+53825,6,211위
5,Dead Rising Deluxe Remaster,액션,압도적 긍정,2207,+71933,9,109위
6,나 혼자만 레벨업: Arise,액션 RPG,확인불가,-,+72929,12,43위
7,PIONER,MMORPG,확인불가,336,+82890,5,90위
8,Zoochosis,공포,압도적 긍정,1197,+90281,12,60위
9,UFL,스포츠 (축구),확인불가,-,+20482,5,203위
10,Starlight Re:Volver,로그라이크,확인불가,-,+13209,1,286위
