rank,name,genre,demo,play_type,release_date,chart_count
1,빈딕투스: 디파잉 페이트,액션 RPG,Y,멀티,출시예정,14
2,Jump Ship,슈팅 (1인칭),N,멀티,2025.07.23,9
3,와일드게이트,슈팅 (1인칭),Y,멀티,2025년,15
4,MIMESIS,공포,N,멀티,2025년 3분기,6
5,Dead Rising Deluxe Remaster,액션,Y,싱글,출시예정,9
6,나 혼자만 레벨업: Arise,액션 RPG,N,멀티,2025년,12
7,PIONER,MMORPG,N,멀티,2025년,5
8,Zoochosis,공포,Y,싱글,2025년 3분기,12
9,UFL,스포츠 (축구),N,멀티,출시예정,5
10,Starlight Re:Volver,로그라이크,N,멀티,2025년 3분기,1
11,Gray Zone Warfare,슈팅 (1인칭),Y,싱글,2025년,-
12,Cat Quest III,로그라이크,Y,싱글,출시예정,-
13,Stellar Nomad,건설 (우주),Y,싱글,2025년,-
14,Anvil Empires,전략,N,멀티,출시예정,7
15,Wheel World,액션 어드벤처,Y,싱글,2025년,9
